text,label
The quick brown fox 0,jumps
The lazy dog 0,sleeps
A journey of a thousand miles 0,begins
Actions speak louder than 0,words
Better late than 0,never
To be or not 0,to be
All that glitters is 0,not gold
Beauty is in the eye of the 0,beholder
Knowledge is 0,power
Practice makes 0,perfect
The quick brown fox,jumps
The lazy dog,sleeps
A journey of a thousand miles,begins
Actions speak louder than,words
Better late than,never
To be or not,to be
All that glitters is,not gold
Beauty is in the eye of the,beholder
Knowledge is,power
Practice makes,perfect
The quick brown fox 2,jumps
The lazy dog 2,sleeps
A journey of a thousand miles 2,begins
Actions speak louder than 2,words
Better late than 2,never
To be or not 2,to be
All that glitters is 2,not gold
Beauty is in the eye of the 2,beholder
Knowledge is 2,power
Practice makes 2,perfect
The quick brown fox,jumps
The lazy dog,sleeps
A journey of a thousand miles,begins
Actions speak louder than,words
Better late than,never
To be or not,to be
All that glitters is,not gold
Beauty is in the eye of the,beholder
Knowledge is,power
Practice makes,perfect
The quick brown fox 4,jumps
The lazy dog 4,sleeps
A journey of a thousand miles 4,begins
Actions speak louder than 4,words
Better late than 4,never
To be or not 4,to be
All that glitters is 4,not gold
Beauty is in the eye of the 4,beholder
Knowledge is 4,power
Practice makes 4,perfect
The quick brown fox,jumps
The lazy dog,sleeps
A journey of a thousand miles,begins
Actions speak louder than,words
Better late than,never
To be or not,to be
All that glitters is,not gold
Beauty is in the eye of the,beholder
Knowledge is,power
Practice makes,perfect
The quick brown fox 6,jumps
The lazy dog 6,sleeps
A journey of a thousand miles 6,begins
Actions speak louder than 6,words
Better late than 6,never
To be or not 6,to be
All that glitters is 6,not gold
Beauty is in the eye of the 6,beholder
Knowledge is 6,power
Practice makes 6,perfect
The quick brown fox,jumps
The lazy dog,sleeps
A journey of a thousand miles,begins
Actions speak louder than,words
Better late than,never
To be or not,to be
All that glitters is,not gold
Beauty is in the eye of the,beholder
Knowledge is,power
Practice makes,perfect
The quick brown fox 8,jumps
The lazy dog 8,sleeps
A journey of a thousand miles 8,begins
Actions speak louder than 8,words
Better late than 8,never
To be or not 8,to be
All that glitters is 8,not gold
Beauty is in the eye of the 8,beholder
Knowledge is 8,power
Practice makes 8,perfect
The quick brown fox,jumps
The lazy dog,sleeps
A journey of a thousand miles,begins
Actions speak louder than,words
Better late than,never
To be or not,to be
All that glitters is,not gold
Beauty is in the eye of the,beholder
Knowledge is,power
Practice makes,perfect
